"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"0000","Onbekend",,,
"5001","Canada","1867-07-01",,
"5002","Frankrijk",,,
"5003","Zwitserland",,,
"5004","Rhodesië","1965-11-11","1979-06-01",
"5005","Malawi","1964-07-06",,
"5006","Cuba",,,
"5007","Suriname",,,
"5008","Tunesië",,,
"5009","Oostenrijk",,,
"5010","België",,,
"5011","Botswana","1966-09-30",,
"5012","Iran",,,
"5013","Nieuw-Zeeland",,,
"5014","Zuid-Afrika",,,
"5015","Denemarken",,,
"5016","Noord-Jemen",,"1990-05-22",
"5017","Hongarije",,,
"5018","Saoedi-Arabië",,,
"5019","Liberia","1847-07-26",,
"5020","Ethiopië",,,
"5021","Chili",,,
"5022","Marokko",,,
"5023","Togo",,,
"5024","Ghana","1957-03-06",,
"5025","Laos",,,
"5026","Angola",,,
"5027","Filipijnen",,,
"5028","Zambia","1964-10-24",,
"5029","Mali","1960-06-20",,
"5030","Ivoorkust",,,
"5031","Burma",,"1989-06-18",
"5032","Monaco",,,
"5033","Colombia",,,
"5034","Albanië",,,
"5035","Kameroen","1960-01-01",,
"5036","Zuid-Vietnam",,"1976-07-02",
"5037","Singapore",,,
"5038","Paraguay",,,
"5039","Zweden",,,
"5040","Cyprus",,,
"5041","Australisch Nieuw-Guinea",,"1975-09-16",
"5042","Brunei",,,
"5043","Irak",,,
"5044","Mauritius",,,
"5045","Vaticaanstad","1929-02-11",,
"5046","Kashmir",,"1991-06-01","*"
"5047","Myanmar","1989-06-18",,
"5048","Jemen","1990-05-22",,
"5049","Slovenië","1992-01-15",,
"5050","Zaïre","1971-10-27","1997-07-15",
"5051","Kroatië","1992-01-15",,
"5052","Taiwan",,,
"5053","Rusland","1991-12-31",,
"5054","Armenië","1991-12-31",,
"5055","Ascension",,,
"5056","Azoren",,,
"5057","Bahrein",,,
"5058","Bhutan",,,
"5059","Britse Antillen","1962-02-01","1981-11-01",
"5060","Comoren",,,
"5061","Falklandeilanden",,,
"5062","Frans-Guyana",,,
"5063","Frans-Somaliland",,"1977-06-27",
"5064","Gilbert- en Ellice-eilanden",,"1975-10-01",
"5065","Groenland",,,
"5066","Guadeloupe",,,
"5067","Kaapverdische Eilanden",,"1975-07-05","*"
"5068","Macau",,"1999-12-20",
"5069","Martinique",,,
"5070","Mozambique","1975-06-25",,
"5071","Pitcairneilanden",,,
"5072","Guinee-Bissau",,,
"5073","Réunion",,,
"5074","Saint Pierre en Miquelon",,,
"5075","Seychellen en Amiranten",,"1991-06-01","*"
"5076","Tonga",,,
"5077","Wallis en Futuna",,,
"5078","Zuidwest-Afrika",,"1990-03-21",
"5079","Frans-Indië",,"1991-06-01","*"
"5080","Johnston",,,
"5081","Kedah",,"1946-04-01",
"5082","Kelantan",,"1946-04-01",
"5083","Malakka",,"1963-09-16",
"5084","Mayotte",,,
"5085","Negri Sembilan",,"1946-04-01",
"5086","Pahang",,"1946-04-01",
"5087","Perak",,"1946-04-01",
"5088","Perlis",,"1946-04-01",
"5089","Portugees-Indië",,"1961-12-18",
"5090","Selangor",,"1946-04-01",
"5091","Sikkim",,"1991-06-01","*"
"5092","Saint Vincent en de Grenadines","1979-10-27",,
"5093","Spitsbergen",,"1991-06-01","*"
"5094","Trengganu",,"1946-04-01",
"5095","Aruba","1986-01-01",,
"5096","Burkina Faso","1984-08-04",,
"5097","Azerbeidzjan","1991-12-31",,
"5098","Belarus","1991-12-31",,
"5099","Kazachstan","1991-12-31",,
"5100","Macedonië","1993-04-19","2019-10-07","In BRP beëindigd op 12-02-2019"
"5101","Timor Leste","2002-05-20",,
"5102","Servië en Montenegro","2003-02-04","2006-06-03",
"5103","Servië","2006-06-03",,
"5104","Montenegro","2006-06-03",,
"5105","Kosovo","2008-02-17",,
